title,authors,first_author_last_name,doi,journal,year,abstract,keywords,type,topic,focus,material_system,material_subclass,manufacturer,instrument,configuration,laser,analysis_mode,pulse_fraction_or_energy,detection_rate,pulse_rate,base_temperature
Direct Observation of Trace Elements in Barium Titanate of Multilayer Ceramic Capacitors Using Atom Probe Tomography,"Jang, Kyuseon; Kim, Mi-Yang; Jung, Chanwon; Kim, Se-Ho; Choi, Daechul; Park, Seong-Chan; Scheu, Christina; Choi, Pyuck-Pa",Jang,10.1093/mam/ozae032,Microscopy and Microanalysis,2024,"Accurately controlling trace additives in dielectric barium titanate (BaTiO3) layers is important for optimizing the performance of multilayer ceramic capacitors (MLCCs). However, characterizing the spatial distribution and local concentration of the additives, which strongly influence the MLCC performance, poses a significant challenge.","atom probe tomography, barium titanate, heat treatment, multilayer ceramic capacitors, trace elements, BaTiO3, Bi0.5Na0.5TiO3, MnO2, dielectric properties, X9R MLCC",Journal Article,Materials Science and Application Studies,Grain Boundaries and Interfaces,Ceramics and Glasses,,CAMECA,LEAP 4000X HR,Reflectron Fitted,355 nm,Laser,250 pJ,0.2-0.4%,100 kHz,69 K
Atom Probe Tomography of Nanowires,"Jeon, Nari; Lauhon, Lincoln J.",Jeon,10.1016/bs.semsem.2015.07.003,Semiconductor Nanowires I: Growth and Theory,2015,"By analyzing nanoscale variations in composition in three dimensions, APT can play a unique role in elucidating processing–structure–property relationships in semiconductor nanowires.","Atom Probe Tomography, Nanowires, Semiconductor Materials, Semiconductor",Journal Article,Materials Science and Application Studies,Other,Semiconductors,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Laser,50 pJ,0.5%,200 kHz,50 K
Chemical imaging and diffusion of hydrogen and lithium in lithium aluminate,"Jiang, Weilin; Spurgeon, Steven R.; Zhu, Zihua; Yu, Xiaofei; Kruska, Karen; Wang, Tianyao; Gigax, Jonathan; Shao, Lin; Senor, David J.",Jiang,10.1016/j.jnucmat.2018.08.057,Journal of Nuclear Materials,2018,Tritium (3H) must be replenished for strategic stockpile and fusion reactors. 6Li-enriched g-LiAlO2 pellets have been used for 3H production by thermal neutron irradiation. A fundamental study of 3H and 6Li diffusion processes in irradiated g-LiAlO2 pellets is needed to assess and predict the long-term material performance.,"Chemical imaging, Diffusion, Ion irradiation, Tritium breeder material, LiAlO2",Journal Article,Materials Science and Application Studies,Other,Ceramics and Glasses,,CAMECA,LEAP 4000X HR,Reflectron Fitted,355 nm,Voltage,180 pJ/pulse,0.4%,100 kHz,18 K
Crystal plasticity enhances trace element mobility in garnet,"Tacchetto, T.; Reddy, S. M.; Fougerouse, D.; Clark, C.; Saxey, D. W.; Rickard, W. D. A.",Tacchetto,10.1130/G50283.1,Geology,2022,Crystal plasticity enhances trace element mobility in garnet.,"garnet, crystal plasticity, trace element mobility",Journal Article,Materials Science and Application Studies,Grain Boundaries and Interfaces,Geological Materials,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Voltage,50 pJ,0.5%,200 kHz,50 K
Field-dependent abundances of hydride molecular ions in atom probe tomography of III-N semiconductors,"Diagne, Aissatou; Garcia, Luis Gonzalez; Ndiaye, Samba; Gogneau, Noëlle; Vrellou, Maria; Houard, Jonathan; Rigutti, Lorenzo",Diagne,10.1111/jmi.13233,Journal of Microscopy,2024,We investigate the microscopic behaviour of hydrogen-containing species formed on the surface of III-N semiconductor samples by the residual hydrogen in the analysis chamber in laser-assisted atom probe tomography (APT).,"atom probe tomography, hydrides, hydrogen, semiconductors, surface microscopy",Journal Article,Materials Science and Application Studies,Other,Semiconductors,,CAMECA/GPM,LAWATAP,Straight Flight Path,344 nm,Laser,100 kHz,0.6,100 kHz,50 K
"Quantifying Compositional Homogeneity in Pb(Zr,Ti)O3 Using Atom Probe Tomography","Kirchhofer, Rita; Diercks, David R.; Gorman, Brian P.; Ihlefeld, Jon F.; Kotula, Paul G.; Shelton, Christopher T.; Brennecka, Geoﬀ L.",Kirchhofer,10.1111/jace.13135,Journal of the American Ceramic Society,2014,"Atom probe analysis of ferroelectric oxides is still in its infancy. The effects of laser pulse energy on the measured oxygen stoichiometry are discussed, and the importance of optimizing the atom probe run conditions is highlighted. The results of atom probe analysis of bulk and thin-film PZT specimens are presented, and the effects of specimen geometry and laser pulse energy on the measured composition are discussed. The possibility of cation segregation in the bulk PZT specimens is investigated using cluster analysis, and the results are compared to those obtained from STEM-EDS analysis.","Atom Probe Tomography, Pb(Zr, Ti)O3, Compositional Homogeneity, Ferroelectric Oxides, PZT, Specimen geometry, Laser pulse energy, Cation segregation, Laser-Assisted APT",Journal Article,Materials Science and Application Studies,Other,Ceramics and Glasses,,,,,,Laser,1.0 pJ/pulse,0.2%,100 kHz,50 K
Atom-probe for FinFET dopant characterization,"Kambham, A. K.; Mody, J.; Gilbert, M.; Koelling, S.; Vandervorst, W.",Kambham,10.1016/j.ultramic.2011.01.017,Ultramicroscopy,2011,"With the continuous shrinking of transistors and advent of new transistor architectures to keep in pace with Moore’s law and ITRS goals, there is a rising interest in multigate 3D-devices like FinFETs where the channel is surrounded by gates on multiple surfaces.","FinFET, Atom probe tomography, Conformality, SIMS",Journal Article,Materials Science and Application Studies,Other,Semiconductors,,CAMECA/GPM,LAWATAP,Straight Flight Path,344 nm,Laser,10-15%,0.03-0.05 ions/pulse,N/A,80 K
Three-dimensional doping and diffusion in nano scaled devices as studied by atom probe tomography,"Kambham, Ajay Kumar; Kumar, Arul; Florakis, Antonios; Vandervorst, Wilfried",Kambham,10.1088/0957-4484/24/27/275705,Nanotechnology,2013,"Nowadays, technological developments towards advanced nano scale devices such as FinFETs and TFETs require a fundamental understanding of three-dimensional doping incorporation, activation and diffusion, as these details directly impact decisive parameters such as gate overlap and doping conformality and thus the device performance.","Atom Probe Tomography, Doping, Diffusion, FinFETs, TFETs",Journal Article,Materials Science and Application Studies,Other,Semiconductors,,CAMECA/GPM,LAWATAP,Straight Flight Path,344 nm,Laser,"400 fs, 515 nm",N/A,N/A,80 K
The mystery of missing species in atom probe tomography of composite materials,"Karahka, M.; Xia, Y.; Kreuzer, H. J.",Karahka,10.1063/1.4928625,Applied Physics Letters,2015,There is a serious problem in atom probe tomography of composite materials such as oxides that even from stoichiometric samples one observes non-stoichiometric ion yields.,"Atom probe tomography, composite materials, oxides, non-stoichiometric ion yields",Journal Article,Materials Science and Application Studies,Other,,,NIST,EUV Atom Probe,Straight Flight Path,29.6 nm,Voltage,N/A,N/A,N/A,50 K
Impact of local electrostatic field rearrangement on field ionization,"Katnagallu, Shyam; Dagan, Michal; Parviainen, Stefan; Nematollahi, Ali; Grabowski, Blazej; Bagot, Paul A J; Rolland, Nicolas; Neugebauer, Jörg; Raabe, Dierk; Vurpillot, François; Moody, Michael P; Gault, Baptiste",Katnagallu,10.1088/1361-6463/aaaba6,Journal of Physics D: Applied Physics,2018,"Field ion microscopy allows for direct imaging of surfaces with true atomic resolution. The high charge density distribution on the surface generates an intense electric field that can induce ionization of gas atoms. We investigate the dynamic nature of the charge and the consequent electrostatic field redistribution following the departure of atoms initially constituting the surface in the form of an ion, a process known as field evaporation.","field ionization, field evaporation, molecular dynamics, field ion microscope, electrostatic field, microscopy",Journal Article,Data Reconstruction and Physical Modeling,Field Evaporation Physics,Metals and Alloys,,,,,,Voltage,25%,0.5%,100 kHz,50 K
Correlating nanoscale secondary ion mass spectrometry and atom probe tomography analysis of uranium enrichment in metallic nuclear fuel,"Kautz, Elizabeth; Cliﬀ, John; Lach, Timothy; Reilly, Dallas; Devaraj, Arun",Kautz,10.1039/d0an01831g,Analyst,2021,"Accurate measurements of 235U enrichment within metallic nuclear fuels are essential for understanding material performance in a neutron irradiation environment, and the origin of secondary phases (e.g. uranium carbides).","Uranium enrichment, metallic nuclear fuel, nanoscale secondary ion mass spectrometry, atom probe tomography",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,CAMECA,LEAP 4000X HR,Reflectron Fitted,355 nm,Voltage,100 pJ,0.005 atoms per pulse,100 kHz,45 K
Ultrafast laser-triggered emission from hafnium carbide tips,"Kealhofer, Catherine; Foreman, Seth M.; Gerlich, Stefan; Kasevich, Mark A.",Kealhofer,10.1103/PhysRevB.86.035405,Physical Review B,2012,"We have measured two-photon emission from a hafnium carbide tip induced by sub-10-fs laser pulses. HfC's low work function and demonstrated stability for high current density emission make it an excellent candidate tip material for ultrafast laser-triggered electron emission applications, particularly those with constraints on available peak laser intensity.","Hafnium carbide, field emission, ultrafast laser, electron emission, Ultrafast laser-triggered emission, Two-photon emission",Journal Article,Instrumentation and Technique Development,Other,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Laser,4.6 mW,0.5%,150 MHz,300 K
Determining the field emitter temperature during laser irradiation in the pulsed laser atom probe,"Kellogg, G. L.; Laboratories, Sandia National",Kellogg,10.1063/1.329390,Journal of Applied Physics,1981,Determining the field emitter temperature during laser irradiation in the pulsed laser atom probe,"Atom Probe Tomography, Field Emission, Laser Irradiation",Journal Article,Instrumentation and Technique Development,Other,Metals and Alloys,,,,,,Laser,10 ns,109 ions/sec,200 kHz,60 K
Pulsed-laser atom-probe field-ion microscopy,"Kellogg, G. L.; Tsong, T. T.",Kellogg,10.1063/1.327686,Journal of Applied Physics,1980,"The pulsed-laser atom-probe field-ion microscope is a new technique for studying surface atom-transport phenomena on an atomic scale. The technique uses a pulsed laser to heat the tip of a field-ion microscope, causing the atoms to desorb and be detected by a time-of-flight mass spectrometer. The technique has been used to study the diffusion of adatoms on the (110) plane of a tungsten tip, and the results are compared with previous studies using the field-ion microscope.","pulsed-laser atom-probe field-ion microscope, surface atom-transport phenomena, time-of-flight mass spectrometer",Journal Article,Instrumentation and Technique Development,Other,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Laser,7 ns,50,200 kHz,50 K
Atom Probe Tomography of Electronic Materials,"Kelly, Thomas F.; Larson, David J.; Thompson, Keith; Alvis, Roger L.; Bunton, Joseph H.; Olson, Jesse D.; Gorman, Brian P.",Kelly,10.1146/annurev.matsci.37.052506.084239,Annual Review of Materials Research,2007,"At a time when electronic materials structures are being engineered at the sub-100-nm length scale, APT has emerged as a commercial analytical tool capable of providing crucial information for research, development, and process engineering.","atom probe tomography, electronic materials, microanalysis, atom mapping, dopant profiling, silicon, compound semiconductors, Materials Science",Literature Review,Materials Science and Application Studies,Other,Semiconductors,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,N/A,N/A,N/A,N/A,N/A
Atom Probe Tomography on Semiconductor Devices,"Khan, Mansoor Ali; Ringer, Simon P.; Zheng, Rongkun",Khan,10.1002/admi.201500713,Adv. Mater. Interfaces,2016,"The paper discusses the application of Atom Probe Tomography (APT) in the study of various materials and devices, including GaN-based LEDs, HEMTs, and MOSFETs.","Atom Probe Tomography, Semiconductor Devices, Materials Science, GaN, HEMTs, MOSFETs",Literature Review,Materials Science and Application Studies,Other,Semiconductors,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,N/A,N/A,N/A,N/A,N/A
Atom probe tomography study of Mg-doped GaN layers,"Khromov, S; Gregorius, D; Schiller, R; Lösch, J; Wahl, M; Kopnarski, M; Amano, H; Monemar, B; Hultman, L; Pozina, G",Khromov,10.1088/0957-4484/25/27/275701,Nanotechnology,2014,Atom probe tomography studies on highly Mg-doped homoepitaxial GaN (0001) layers with concentrations of 5 × 10^19 cm^−3 and 1 × 10^20 cm^−3 were performed.,"gallium nitride, atom probe tomography, magnesium, doping, cathodoluminescence, transmission electron microscopy, defects",Journal Article,Materials Science and Application Studies,Other,Semiconductors,,CAMECA,LEAP 4000X HR,Reflectron Fitted,355 nm,Laser,0.03 to 0.7 pJ,0.7%,250 Hz,27 K
Preventing delithiation in air-sensitive materials during atom probe tomography analysis,"Devaraj, A.; Stephens, I.; Ryan, M. P.",Devaraj,10.1039/D1TA10223A,Journal of Materials Chemistry A,2022,"Experimental conditions do not lead to any satisfactory solution. We also show that the use of cryogenic preparation and transfer is not always the “miracle solution” that we sometimes hope it will be for the analysis of air-sensitive materials. We have however demonstrated that by shielding from the field through building an equivalent of a Faraday cage at the specimen's surface, we can prevent the penetration of the field and hence prevent delithiation. Whether or not a coating is necessary will be highly dependent on the nature of the considered specimen, as the surface reactivity of NMC811 led to the formation of an intrinsic shielding, or on the goal of the analysis, as the intrinsic shielding alters the surface of the sample. How much this process may have been taking place without being noticed and enabled previous APT analyses of oxides could also be debated at length in the future. Generalising the use of an extrinsic shielding by either metal electrodeposition or physical-vapor deposition could facilitate the APT analysis of some of these highly challenging materials, maybe also through a future work flow to combine with cryogenic preparation that will need to be developed.","Atom probe tomography, Air-sensitive materials, Delithiation, Shielding, Cryogenic preparation",Journal Article,Materials Science and Application Studies,Other,None,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Voltage,N/A,N/A,N/A,N/A
Atom probe analysis of BaTiO3 enabled by metallic shielding,"Kim, Se-Ho; Shin, Kihyun; Zhou, Xuyang; Jung, Chanwon; Kim, Hyun You; Pedrazzini, Stella; Conroy, Michele; Henkelman, Graeme; Gault, Baptiste",Kim,10.1016/j.scriptamat.2023.115370,Scripta Materialia,2023,"Atom probe tomography has been raising in prominence as a microscopy and microanalysis technique to gain sub-nanoscale information from technologically- relevant materials. However, the analysis of some functional ceramics, particularly perovskites, has remained challenging with extremely low yield and success rate.","Atom probe tomography, BaTiO3, metallic shielding, piezoelectricity",Journal Article,Materials Science and Application Studies,Grain Boundaries and Interfaces,Ceramics and Glasses,,,,,,Laser,80 pJ,0.5%,125 kHz,60 K
Understanding atom probe’s analytical performance for iron oxides using correlation histograms and ab initio calculations,"Kim, Se-Ho; Bhatt, Shalini; Schreiber, Daniel K; Neugebauer, Jörg; Freysoldt, Christoph; Gault, Baptiste; Katnagallu, Shyam",Kim,10.1088/1367-2630/ad309e,New Journal of Physics,2024,"Field evaporation from ionic or covalently bonded materials often leads to the emission of molecular ions. The metastability of these molecular ions, particularly under the influence of the intense electrostatic field (1010 Vm−1), makes them prone to dissociation with or without an exchange of energy amongst them. These processes can affect the analytical performance of atom probe tomography (APT). For instance, neutral molecules formed through dissociation may not be detected at all or with a time of flight no longer related to their mass, causing their loss from the analysis.","oxides, atom probe, correlation histogram, molecular dissociation, density functional theory",Journal Article,Materials Science and Application Studies,Other,,,,,,,Voltage,10–80 pJ,0.5%–4%,65 kHz–500 kHz,60 K
A Liquid Metal Encapsulation for Analyzing Porous Nanomaterials by Atom Probe Tomography,"Kim, Se-Ho; El-Zoka, Ayman A.; Gault, Baptiste",Kim,10.1017/S1431927621012964,Microscopy and Microanalysis,2022,"Analyzing porous (nano)materials via atom probe tomography has been notoriously difficult. Voids and pores act as concentrators of the electrostatic pressure, which results in premature specimen failure, and the electrostatic field distribution near voids leads to aberrations that are difficult to predict.","atom probe tomography, fusible alloy, liquid metal, porous iron",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,CAMECA,LEAP 5000 XS,Straight Flight Path,355 nm,Voltage,10 pJ,0.5%,100 kHz,50 K
Origin of micron-scale propagation lengths of heat-carrying acoustic excitations in amorphous silicon,"Kim, Taeyong; Moon, Jaeyun; Minnich, Austin J.",Kim,10.1103/PhysRevMaterials.3.065601,Physical Review Materials,2019,"The heat-carrying acoustic excitations of amorphous silicon are of interest because their mean free paths may approach micron scales at room temperature. Despite extensive investigation, the origin of the weak acoustic damping in the heat-carrying frequencies remains a topic of debate.","acoustic excitations, amorphous silicon, thermal conductivity, mean free path",Journal Article,Materials Science and Application Studies,Other,Semiconductors,,,,,,Laser,1 ns,N/A,200 Hz,60 K
THE POST-IONIZATION OF FIELD EVAPORATED IONS: A THEORETICAL EXPLANATION OF MULTIPLE CHARGE STATES,"Kingham, D. R.; Haydock, R.",Kingham,10.1016/0039-6028(82)90043-4,Surface Science,1982,"It is shown theoretically that post-ionization of field evaporated ions may occur, whereby a positive ion being accelerated away from a metal surface in a strong electric field loses one or more electrons by tunnelling into the substrate.","field evaporation, post-ionization, multiple charge states",Journal Article,Data Reconstruction and Physical Modeling,Other,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Voltage,N/A,N/A,N/A,N/A
Quantitativeness in laser-assisted atom probe analysis of boron and carbon codoped in silicon,"Kinno, Teruyuki; Sasaki, Tomokazu; Tomita, Mitsuhiro; Ohkubo, Tadakatsu",Kinno,10.7567/JJAP.56.116601,Japanese Journal of Applied Physics,2017,"Boron and carbon codoped in polysilicon thin films and carbon implanted in silicon substrates have been examined by laser-assisted atom probe tomography (La-APT). Clusters of dopants were observed in annealed samples. Compared with the results obtained by secondary ion mass spectrometry (SIMS), significant miscounts of both boron and carbon were found in La-APT results.","atom probe tomography, laser-assisted atom probe tomography, boron, carbon, silicon",Journal Article,Materials Science and Application Studies,Other,Semiconductors,,,,,,Laser,30 pJ,50%,200 kHz,70 K
Improvement in detection limit for time-of-flight SIMS analysis of dopants in GaN structures,"Klump, Andrew; Zhou, Chuanzhen; Stevie, Frederick A.; Collazo, Ramón; Sitar, Zlatko",Klump,10.1116/1.5013001,Journal of Vacuum Science and Technology B,2018,Secondary ion mass spectrometry (SIMS) has been used extensively to monitor dopant levels in semiconductor materials. The preponderance of these measurements has been made with magnetic sector or quadrupole analyzers. Use of time-of-flight (ToF) analyzers has been limited because of an inability to match the detection limit of the other analyzers.,"Time-of-flight SIMS, dopant analysis, GaN structures",Journal Article,Instrumentation and Technique Development,Detector,Semiconductors,,,,,,Voltage,20 ns,11.3,1 cycle,N/A
Anomalous distribution in atom map of solute carbon in steel,"Kobayashi, Yukiko; Takahashi, J.; Kawakami, K.",Kobayashi,10.1016/j.ultramic.2011.01.016,Ultramicroscopy,2011,The distribution of carbon in atom probe tomography maps was investigated in various phases of steel.,"Atom probe, Field evaporation, Steel, Carbon, Trajectory aberration",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,,,,,Voltage,20-25%,N/A,1.5-20 kHz,30-90 K
Laser Assisted Atom Probe Analysis of Thin Film on Insulating Substrate,"Kodzuka, Masaya; Ohkubo, Toshiji; Hono, Koji",Kodzuka,10.1016/j.ultramic.2010.11.008,Ultramicroscopy,2011,We demonstrate that the atom probe analyses of metallic thin films on insulating substrates are possible using laser assisted field evaporation.,"Atom probe, Ultraviolet femtosecond laser, Insulating substrate",Journal Article,Instrumentation and Technique Development,Other,Metals and Alloys,,CAMECA/GPM,LAWATAP,Straight Flight Path,344 nm,Laser,0.3 mJ,0.002-0.004 atom/pulse,100 kHz,30 K
In-situ observation of non-hemispherical tip shape formation during laser-assisted atom probe tomography,"Koelling, S.; Innocenti, N.; Schulze, A.; Gilbert, M.; Kambham, A. K.; Vandervorst, W.",Koelling,10.1063/1.3592339,Journal of Applied Physics,2011,It is shown by SEM imaging of the tip and by observing the emission pattern of the evaporated atoms that laser assisted evaporation in an atom probe can lead to nonhemispherical tip shapes and time-dependent nonuniform emission.,"Atom probe tomography, Laser-assisted evaporation, Tip shape formation",Journal Article,Data Reconstruction and Physical Modeling,Other,Semiconductors,,CAMECA/GPM,LAWATAP,Straight Flight Path,344 nm,Laser,400 fs pulses,8% singly charged silicon,N/A,15 K
Atom-by-Atom Analysis of Semiconductor Nanowires with Parts Per Million Sensitivity,"Koelling, S.; Li, A.; Cavalli, A.; Assali, S.; Car, D.; Gazibegovic, S.; Bakkers, E. P. A. M.; Koenraad, P. M.",Koelling,10.1021/acs.nanolett.6b03109,Nano Letters,2017,Detecting and mapping impurities in nanostructures is challenging as they are composed of a relatively small number of atoms due to their inherently small dimensions.,"Atom Probe Tomography, Nanowires, Impurities",Journal Article,Materials Science and Application Studies,Other,Semiconductors,,CAMECA,LEAP 4000X HR,Reflectron Fitted,355 nm,Laser,2-6 pJ,36%,65-200 kHz,20 K
The Influence of Experimental Parameters and Specimen Geometry on the Mass Spectra of Copper During Pulsed-Laser Atom-Probe Tomography,"Kolli, R. Prakash; Meisenkothen, Frederick",Kolli,10.1017/S1431927614013488,Microscopy and Microanalysis,2014,"We have studied the effects of experimental parameters and specimen geometry to include laser pulse energy, laser pulse frequency, specimen base temperature, tip radius, and shank half-angle on the mass resolving power and mass spectra for 99.999 wt% Cu.","copper, atom-probe tomography, mass resolution, mass spectra, thermal diffusivity, Atom Probe Tomography, Pulse Laser, Specimen Geometry",Journal Article,Instrumentation and Technique Development,Other,Metals and Alloys,,CAMECA,LEAP 4000X Si,Straight Flight Path,355 nm,Laser,40-80 pJ,1.0%,100-500 kHz,20-80 K
Background Recovery through the Quantification of Delayed Evaporation Multi-Ion Events in Atom-Probe Data,"Kruska, Karen; Schreiber, Daniel K",Kruska,10.1017/S1431927615005085,Microscopy and Microanalysis,2015,The reliable quantitative analysis of oxides by atom probe tomography (APT) is an on-going issue.,"Atom Probe Tomography, Oxides, Quantification, Delayed Evaporation",Journal Article,Data Analysis and Quantification Methods,Other,Metals and Alloys,,CAMECA,LEAP 4000X HR,Reflectron Fitted,355 nm,Voltage,2-50 pJ/pulse,N/A,N/A,40K
Facilitating Atom Probe Tomography of 2D MXene Films by In Situ Sputtering,"Krämer, Mathias; Favelukis, Bar; Sokol, Maxim; Rosen, Brian A.; Eliaz, Noam; Kim, Se-Ho; Gault, Baptiste",Krämer,10.1093/mam/ozae035,Microscopy and Microanalysis,2024,"2D materials are emerging as promising nanomaterials for applications in energy storage and catalysis. In the wet chemical synthesis of MXenes, these 2D transition metal carbides and nitrides are terminated with a variety of functional groups, and cations such as Li+ are often used to intercalate into the structure to obtain exfoliated nanosheets.","2D materials, atom probe tomography, focused ion beam, in situ coating, MXenes",Journal Article,Materials Science and Application Studies,Other,Nanomaterials,,CAMECA,LEAP 5000 XR,Reflectron Fitted,355 nm,Laser,50-75 pJ,5-10 ions per 1000 pulses,125 kHz,50 K
Measurement of the apex temperature of a nanoscale semiconducting field emitter illuminated by a femtosecond pulsed laser,"Kumar, A.; Bogdanowicz, J.; Demeulemeester, J.; Bran, J.; Melkonyan, D.; Fleischmann, C.; Vandervorst, W.",Kumar,10.1016/j.ultramic.2013.05.016,Ultramicroscopy,2013,Evaluating the thermal processes occurring inside an illuminated nanoscale semiconducting tip is of the utmost importance for the physical understanding of laser assisted atom probe tomography (L-APT).,"Atom probe tomography, Laser assisted atom probe tomography, Field evaporation, Temperature measurement",Journal Article,Data Reconstruction and Physical Modeling,Other,Semiconductors,,CAMECA/GPM,LAWATAP,Straight Flight Path,344 nm,Laser,50%,0.5%,10 kHz,80 K
Understanding of Capping Effects on the Tip Shape Evolution and on the Atom Probe Data of Bulk LaAlO3 Using Transmission Electron Microscopy,"Kwak, Chang-Min; Kim, Young-Tae; Park, Chan-Gyung; Seol, Jae-Bok",Kwak,10.1017/S1431927617000149,Microscopy and Microanalysis,2017,"Two challenges exist in laser-assisted atom probe tomography (APT). First, a drastic decline in mass-resolving power is caused, not only by laser-induced thermal effects on the APT tips of bulk oxide materials, but also the associated asymmetric evaporation behavior; second, the field evaporation mechanisms of bulk oxide tips under laser illumination are still unclear due to the complex relations between laser pulse and oxide materials.","LaAlO3, metallic capping, atom probe tomography, transmission electron microscopy, correlative analysis",Journal Article,Materials Science and Application Studies,Grain Boundaries and Interfaces,Ceramics and Glasses,,CAMECA/GPM,LAWATAP,Straight Flight Path,344 nm,Laser,"100 μm spot diameter, 400 fs pulse, 100 kHz pulse repetition rate",0.003–0.007 atoms/pulse,100 kHz,40 K
Failure mechanisms of silicon-based atom-probe tips,"Ko¨Lling, Sebastian; Vandervorst, W.",Ko¨Lling,10.1016/j.ultramic.2008.11.013,Ultramicroscopy,2009,Atom-probe (AP) analysis of silicon based samples frequently fail due to rupture of the tip. We have investigated the stability and failure mechanisms of silicon tips when prepared for AP analysis via Focused Ion Beam (FIB) milling.,"Silicon tips, Atom-probe, FIB",Journal Article,Instrumentation and Technique Development,Other,Semiconductors,,CAMECA/GPM,LAWATAP,Straight Flight Path,344 nm,Voltage,N/A,N/A,N/A,50 K
Atomic Scale Chemical Tomography of Human Bone,"Langelier, Brian; Wang, Xiaoyue; Grandfield, Kathryn",Langelier,10.1038/srep39958,Scientific Reports,2017,Human bone is a complex hierarchical material. Understanding bone structure and its corresponding composition at the nanometer scale is critical for elucidating mechanisms of biomineralization under healthy and pathological states.,"Human bone, Atom Probe Tomography, Biomineralization, Bone structure, Composition",Journal Article,Materials Science and Application Studies,Other,Biomaterials,,,,,,Laser,75 pJ,0.09,160 kHz,43 K
Field-ion specimen preparation using focused ion-beam milling,"Larson, D.J.; Foord, D.T.; Petford-Long, A.K.; Liew, H.; Blamire, M.G.; Cerezo, A.; Smith, G.D.W.",Larson,S0304399199000558,Ultramicroscopy,1999,Preparation of field-ion specimens from various materials has been accomplished using focused ion-beam milling in either a simple cutting mode or by application of an annular-shaped ion-milling pattern.,Ion-beam milling,Journal Article,Specimen Preparation and Experimental Methodology,FIB,Metals and Alloys,,,,,,Voltage,15-20%,N/A,1000-1500 Hz,50-60 K
Non-Tangential Continuity Reconstruction in Atom Probe Tomography Data,"Holvay, J. E.; Gault, B.; Vurpillot, F.; Ozdol, B.; Hono, K.",Holvay,10.1017/S1431927611004570,Microscopy and Microanalysis,2011,Non-Tangential Continuity Reconstruction in Atom Probe Tomography Data,"Atom Probe Tomography, Non-Tangential Continuity Reconstruction",Journal Article,Data Reconstruction and Physical Modeling,Reconstruction Algorithms,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Voltage,N/A,N/A,N/A,N/A
On the Use of Simulated Field-Evaporated Specimen Apex Shapes in Atom Probe Tomography Data Reconstruction,"Larson, David J.; Geiser, Brian P.; Prosa, Ty J.; Kelly, Thomas F.",Larson,10.1017/S1431927612001523,Microscopy and Microanalysis,2012,A simulation of field evaporation in a bilayer composed of two materials with an evaporation field difference of 20% was performed and compared with selected experimental data.,"Atom Probe Tomography, Field Evaporation, Simulation, Reconstruction, Specimen Shape",Journal Article,Data Reconstruction and Physical Modeling,Reconstruction Algorithms,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Voltage,400 pJ,0.2%,200 kHz,30 K
Atom probe tomography spatial reconstruction: Status and directions,"Larson, D. J.; Gault, B.; Geiser, B. P.; De Geuser, F.; Vurpillot, F.",Larson,10.1016/j.cossms.2013.09.002,Current Opinion in Solid State and Materials Science,2013,"In this review we present an overview of the current atom probe tomography spatial data reconstruction paradigm, and explore some potential routes to improve the current methodology in order to yield a more accurate representation of nanoscale microstructure.","Atom probe tomography, Spatial reconstruction, Field evaporation simulation, Simulation, Reconstruction, Field evaporation",Journal Article,Data Reconstruction and Physical Modeling,Other,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Voltage,20%,0.5%,200 kHz,50 K
Improved Mass Resolving Power and Yield in Atom Probe Tomography,"Larson, D. J.; Prosa, T. J.; Bunton, J. H.; Olson, D. P.; Lawrence, D. F.; Oltman, E.; Strennin, S. N.; Kelly, T. F.",Larson,10.1017/S143192761300696X,Microscopy and Microanalysis,2013,Improved Mass Resolving Power and Yield in Atom Probe Tomography,"Atom Probe Tomography, Mass Resolving Power, Yield",Journal Article,Instrumentation and Technique Development,Detector,Metals and Alloys,,,,,,Voltage,N/A,N/A,N/A,N/A
